idx,Origin,UniqueCarrier,Total,DepDelay,airport,city,state,country,lat,long,Carrier
0,ATL,AA,3764,32.4434112646,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,American Airlines Inc.
1,ATL,CO,2037,47.039764359399996,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Continental Air Lines Inc.
2,ATL,DL,75902,22.340623435500003,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Delta Air Lines Inc.
3,ATL,MQ,464,41.5064655172,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,American Eagle Airlines Inc.
4,ATL,NW,1027,33.8422590068,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Northwest Airlines Inc.
5,ATL,OO,2532,27.840837282800003,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Skywest Airlines Inc.
6,ATL,Other,117540,28.5983750213,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Other
7,ATL,UA,1221,35.231777231799995,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,United Air Lines Inc.
8,ATL,US,1560,21.2897435897,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,US Airways Inc.
9,ATL,XE,622,36.905144694499995,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Expressjet Airlines Inc.
10,BOS,AA,4910,35.0446028513,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,American Airlines Inc.
11,BOS,CO,3296,40.0788834951,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Continental Air Lines Inc.
12,BOS,DL,5972,23.3851306095,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Delta Air Lines Inc.
13,BOS,MQ,3783,35.0613269892,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,American Eagle Airlines Inc.
14,BOS,NW,1234,35.7674230146,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Northwest Airlines Inc.
15,BOS,Other,17293,32.3230208755,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Other
16,BOS,UA,4195,29.378784266999997,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,United Air Lines Inc.
17,BOS,US,5590,23.648837209299998,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,US Airways Inc.
18,BOS,XE,279,50.4731182796,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,Expressjet Airlines Inc.
19,BWI,AA,1165,25.2875536481,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,American Airlines Inc.
20,BWI,CO,732,22.5478142077,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Continental Air Lines Inc.
21,BWI,DL,1622,25.784217016,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Delta Air Lines Inc.
22,BWI,MQ,792,42.222222222199996,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,American Eagle Airlines Inc.
23,BWI,NW,906,40.1633554084,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Northwest Airlines Inc.
24,BWI,OO,355,24.8253521127,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Skywest Airlines Inc.
25,BWI,Other,8951,27.3363869959,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Other
26,BWI,UA,2156,27.3358070501,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,United Air Lines Inc.
27,BWI,US,1749,19.5020011435,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,US Airways Inc.
28,BWI,WN,36747,19.2847307263,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Southwest Airlines Co.
29,BWI,XE,562,45.1192170819,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,Expressjet Airlines Inc.
30,CLT,AA,604,29.5910596026,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,American Airlines Inc.
31,CLT,CO,145,57.6827586207,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Continental Air Lines Inc.
32,CLT,DL,1144,24.736013986,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Delta Air Lines Inc.
33,CLT,MQ,1996,37.253006012,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,American Eagle Airlines Inc.
34,CLT,NW,712,36.2724719101,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Northwest Airlines Inc.
